bate,min,dif,tt_unid,ano_lan,ar_ut_un
TRUE,7,0,7,2013,65
FALSE,56,-0.6785714285714286,18,2018,134.43
FALSE,80,-0.13749999999999996,69,2009,52
FALSE,10,-0.30000000000000004,7,2011,70
TRUE,7,0.2857142857142858,9,2012,54
TRUE,6,0,6,2011,61
TRUE,7,0,7,2009,60
TRUE,7,0,7,2009,60
FALSE,1036,-0.6843629343629344,327,2018,161.5
FALSE,229,-0.7903930131004366,48,2018,244
TRUE,5,0.19999999999999996,6,2010,63.17
TRUE,5,0.19999999999999996,6,2010,63.17
FALSE,10,-0.30000000000000004,7,2012,98
TRUE,6,0.33333333333333326,8,2009,48
TRUE,6,0.16666666666666674,7,2013,52
FALSE,23,-0.3913043478260869,14,2008,90
TRUE,5,0,5,2011,57
FALSE,7,-0.1428571428571429,6,2009,70
FALSE,12,-0.33333333333333337,8,2013,80
FALSE,9,-0.11111111111111116,8,2013,66
FALSE,81,-0.6296296296296297,30,2015,111.64
FALSE,444,-0.6396396396396397,160,2017,81
